start_station_name,member_casual,number_of_rides
Kilpatrick Ave & Parker Ave,member,167
Ashland Ave & Pershing Rd,member,171
Buckingham - Fountain,casual,171
Public Rack - Rockwell & Division,member,172
Public Rack - Haft Ave & Milwaukee Ave,member,173
Bosworth Ave & Howard St,casual,174
Public Rack - Harold Washington Park,casual,174
Richmond St & Lincoln Ave,member,174
Western Ave & 111th St,casual,174
MLK Jr Dr & 63rd St,casual,177
Cicero Ave & Grace St,member,179
State St & 79th St,casual,180
Washtenaw Ave & Polk St,casual,180
Public Rack - Woodlawn Ave & 63rd St N,casual,181
South Shore Dr & 74th St,casual,181
St Louis Ave & 59th St,member,181
Washtenaw Ave & Peterson Ave,member,181
Perry Ave & 69th St,casual,182
Western Ave & Ardmore Ave,casual,182
Kedzie Ave & 110th St,casual,183
Millard Ave & 26th St,member,184
South Shore Dr & 74th St,member,184
Hoyne Ave & 47th St,member,185
Yates Blvd & 75th St,casual,185
California & 16th St,casual,186
MLK Jr Dr & 56th St,casual,186
Western Blvd & 48th Pl,member,186
Calumet Ave & 71st St,member,187
Komensky Ave & 31st St,member,187
Rockwell St & Cermak Rd,casual,187
Walden Pkwy & 100th St,casual,189
Virginia Ave & Catalpa Ave,casual,191
Public Rack - Lawndale Ave & Diversey Ave,member,192
Commercial Ave & 83rd St,member,193
Public Rack - Kostner Ave & Armitage Ave,casual,193
Public Rack - Hamlin Ave & Fullerton Ave,member,194
Big Marsh Park,casual,195
Public Rack - Midway Orange Line,casual,195
Austin Blvd & Lake St,casual,196
Western Blvd & 48th Pl,casual,196
Public Rack - Kostner Ave & Diversey Ave,member,198
California Ave & Winona St,casual,199
Public Rack - Christiana Ave & Belmont Ave,member,199
Karlov Ave & Armitage Ave,member,201
Lincolnwood Dr & Central St,member,201
Damen Ave/Coulter St,member,204
California Ave & 26th St,member,205
Cottage Grove Ave & 83rd St,member,205
Eberhart Ave & 61st St,casual,205
Kostner Ave & Adams St,member,205
Austin Blvd & Lake St,member,207
Leavitt St/North Ave,casual,208
Washtenaw Ave & Ogden Ave,casual,208
Stony Island Ave & 63rd St,casual,211
Stony Island Ave & 75th St,member,213
Wood St & 35th St,casual,214
Halsted St & 37th St,casual,215
Kedzie Ave & 21st St,member,215
Kedzie Ave & 21st St,casual,216
Dodge Ave & Main St,casual,217
Chicago State University,casual,218
McCormick Blvd & Devon Ave,casual,220
Public Rack - Pulaski Rd & Armitage Ave,member,220
Kilbourn Ave & Milwaukee Ave,casual,221
Sayre & Diversey,casual,222
Wolcott Ave & Fargo Ave,casual,222
DuSable Museum,casual,223
State St & 79th St,member,223
Michigan Ave & 71st St,member,224
Public Rack - Kostner Ave & Armitage Ave,member,227
Public Rack - Langley Ave & 49th St,member,230
Jeffery Blvd & 67th St,casual,231
Pulaski Rd & Eddy St,member,232
Burnham Greenway & 112th St,casual,234
Lockwood Ave & Wrightwood Ave,member,235
Monticello Ave & Lawrence Ave,member,235
Archer (Damen) Ave & 37th St,casual,237
Ashland Ave & 50th St,member,238
Narragansett & Irving Park,member,238
Stony Island Ave & 63rd St,member,238
Kedzie Ave & 48th Pl,member,240
Princeton Ave & 47th St,member,242
Public Rack - Woodlawn Ave & 63rd St N,member,242
Lincoln Ave & Peterson Ave,casual,244
Damen Ave & Coulter St,member,247
Kilbourn Ave & Irving Park Rd,casual,248
Conservatory Dr & Lake St,member,249
Hoyne Ave & 47th St,casual,249
Kenosha Ave & Wellington Ave,member,249
Monticello Ave & Lawrence Ave,casual,252
Dodge Ave & Mulford St,casual,253
California Ave & Granville Ave,member,254
Lincoln Ave & Balmoral Ave,casual,255
2112 W Peterson Ave,casual,257
Princeton Ave & 47th St,casual,259
Lincolnwood Dr & Central St,casual,261
California Ave & 23rd Pl,casual,266
Central Ave & Chicago Ave,member,266
Halsted St & 96th St,member,268
Kedzie Ave & Chicago Ave,casual,268
Griffin Museum of Science and Industry,casual,272
McCormick Blvd & Devon Ave,member,277
Kedzie Ave & Bryn Mawr Ave,casual,282
Ridge Blvd & Howard St,casual,285
Western Ave & 24th St,casual,286
Narragansett & Wrightwood,casual,288
Sacramento Blvd & Franklin Blvd,member,290
Central Park Ave & Ogden Ave,member,292
Warren Park East,casual,294
State St & 95th St,member,296
Jeffery Blvd & 71st St,member,298
Harlem & Irving Park,casual,301
Princeton Ave & Garfield Blvd,member,303
Pulaski Rd & 51st St,member,303
Cottage Grove Ave & 47th St,casual,306
Normal Ave & Archer Ave,casual,307
Cottage Grove Ave & 67th St,member,308
Albany Ave & Belmont Ave,casual,319
Milwaukee Ave & Cuyler Ave,casual,319
Public Rack - Racine Ave & 109th Pl,member,319
State St & 29th St,casual,319
Campbell Ave & Irving Park Rd,casual,323
May St & 69th St,member,324
Cottage Grove Ave & 43rd St,casual,328
Dodge Ave & Main St,member,329
Stony Island Ave & 71st St,member,331
Conservatory Dr & Lake St,casual,332
Whipple/Irving Park,member,333
Calumet Ave & 51st St,casual,335
Whipple/Irving Park,casual,336
Long & Irving Park,casual,339
Washtenaw Ave & Ogden Ave,member,341
Dodge Ave & Mulford St,member,342
Oakley Ave & Touhy Ave,casual,342
Keystone Ave & Montrose Ave,casual,345
Ridge Blvd & Touhy Ave,casual,345
Wolcott Ave & Fargo Ave,member,345
State St & 95th St,casual,346
Campbell Ave & Irving Park Rd,member,347
Pulaski Rd & 51st St,casual,349
Kilbourn Ave & Milwaukee Ave,member,350
MTV Hubbard St,casual,351
California Ave & 21st St,casual,352
Dorchester Ave & 63rd St,casual,354
MLK Jr Dr & 47th St,casual,356
Jeffery Blvd & 67th St,member,359
Warren Park West,casual,359
California Ave & 23rd Pl,member,362
Kildare Ave & Montrose Ave,casual,362
Lincoln Ave & Peterson Ave,member,367
Bernard St & Elston Ave,casual,369
St. Louis Ave & Balmoral Ave,casual,369
Lincoln Ave & Balmoral Ave,member,370
Pulaski Rd & Eddy St,casual,375
Western Ave & Berteau Ave,casual,375
Ashland Ave & 13th St,casual,377
California Ave & 21st St,member,378
Shields Ave & 28th Pl,casual,378
Long & Irving Park,member,380
N Clark St & W Elm St,member,380
Western Ave & Gunnison St,casual,380
Eggleston Ave & 69th St,member,383
Western Ave & Granville Ave,casual,383
Budlong Woods Library,casual,384
Public Rack - Hyde Park Blvd & 53rd St,member,386
Ogden Ave & Roosevelt Rd,casual,390
Halsted St & 37th St,member,392
Public Rack - Washtenaw Ave & Superior St,member,392
Cottage Grove Ave & 63rd St,casual,393
Western Ave & Howard St,casual,393
Ping Tom Park (East),member,394
Prairie Ave & 43rd St,member,394
Western Ave & 24th St,member,396
Kostner Ave & Wrightwood Ave,member,397
Prairie Ave & 43rd St,casual,399
Sacramento Blvd & Addison St,member,401
Elmwood Ave & Austin St,casual,402
Ping Tom Park (East),casual,402
Kedzie Ave & Lake St,casual,403
MLK Jr Dr & 47th St,member,405
2112 W Peterson Ave,member,410
Kedzie Ave & Lake St,member,411
Archer (Damen) Ave & 37th St,member,417
Clark St & Touhy Ave,casual,417
Valli Produce - Evanston Plaza,casual,418
Racine Ave & 13th St,casual,421
Racine Ave & 35th St,casual,428
Clark St & Jarvis Ave,casual,432
63rd St Beach,member,434
N Damen Ave & W Chicago Ave,casual,434
Kedzie Ave & Chicago Ave,member,440
South Shore Dr & 67th St,casual,447
Central Park Ave & Ogden Ave,casual,452
Dodge Ave & Church St,member,452
Loomis St & Archer Ave,casual,455
N Shore Channel Trail & Argyle St,casual,456
MLK Jr Dr & Pershing Rd,casual,458
Rockwell St & Cermak Rd,member,459
Maplewood Ave & Peterson Ave,member,460
Cottage Grove Ave & Oakwood Blvd,member,463
DuSable Museum,member,463
Dorchester Ave & 49th St,casual,464
Albany Ave & Belmont Ave,member,477
Elmwood Ave & Austin St,member,477
Troy St & Grace St,casual,479
Kedzie Ave & Foster Ave,casual,480
Budlong Woods Library,member,482
Valli Produce - Evanston Plaza,member,482
Central St & Girard Ave,member,485
Kilbourn Ave & Irving Park Rd,member,486
Sacramento Blvd & Addison St,casual,488
Elston Ave & Henderson St,casual,492
Elston Ave & Henderson St,member,494
Drake Ave & Montrose Ave,casual,501
Dodge Ave & Church St,casual,502
California Ave & Lake St,member,508
Keystone Ave & Fullerton Ave,casual,509
Cottage Grove Ave & 51st St,casual,510
Francisco Ave & Montrose Ave,casual,511
Oakley Ave & Touhy Ave,member,511
Francisco Ave & Chicago Ave,casual,518
Warren Park East,member,518
Knox Ave & Montrose Ave,casual,520
Central St Metra,member,524
Keystone Ave & Montrose Ave,member,524
Kedzie Ave & 48th Pl,casual,530
Manor Ave & Leland Ave,casual,532
Central Park Ave & North Ave,member,537
Ridge Blvd & Touhy Ave,member,539
Cottage Grove Ave & Oakwood Blvd,casual,540
Washtenaw Ave & Polk St,member,543
Central St & Girard Ave,casual,549
Francisco Ave & Bloomingdale Ave,member,549
Kedzie Ave & Bryn Mawr Ave,member,549
Lincoln Ave & Belmont Ave (Temp),casual,554
Kedzie Ave & George St,casual,557
Western Ave & Monroe St,casual,558
Leavitt St & Archer Ave,casual,570
Calumet Ave & 35th St,casual,571
California Ave & Lake St,casual,576
Western Ave & Lunt Ave,casual,576
Clinton St & Polk St,casual,578
Western Ave & 21st St,casual,584
California Ave & Winona St,member,585
Sawyer Ave & Irving Park Rd,casual,586
Prairie Ave & Garfield Blvd,casual,588
W Washington Blvd & N Peoria St,casual,589
Ridge Blvd & Howard St,member,591
South Shore Dr & 71st St,casual,591
Clinton St & Polk St,member,593
Central Park Ave & North Ave,casual,602
Leavitt St/North Ave,member,604
Wallace St & 35th St,casual,611
Elston Ave & George St,casual,612
Kildare Ave & Montrose Ave,member,613
Western Ave & Grace St,casual,624
Woodlawn Ave & Lake Park Ave,casual,626
Eastlake Ter & Howard St,casual,632
N Paulina St & Lincoln Ave,casual,638
Emerald Ave & 28th St,casual,645
Ashland Ave & Archer Ave,casual,650
Francisco Ave & Foster Ave,casual,650
Calumet Ave & 51st St,member,651
Wood St & 35th St,member,654
Noble St & Milwaukee Ave (Temp),casual,657
South Shore Dr & 71st St,member,658
Cottage Grove Ave & 43rd St,member,659
Monticello Ave & Irving Park Rd,casual,659
Central St Metra,casual,662
Francisco Ave & Bloomingdale Ave,casual,664
Kedzie Ave & George St,member,669
Albany Ave & Montrose Ave,casual,686
Keystone Ave & Fullerton Ave,member,689
Milwaukee Ave & Cuyler Ave,member,697
Leavitt St & Archer Ave,member,701
Shields Ave & 31st St,casual,701
N Carpenter St & W Lake St,casual,702
Kedzie Ave & Leland Ave,casual,703
Greenwood Ave & 47th St,casual,704
Wentworth Ave & 33rd St,casual,704
Western Ave & Grace St,member,711
Evanston Civic Center,casual,712
N Shore Channel Trail & Argyle St,member,719
Smith Park,casual,723
Dorchester Ave & 63rd St,member,724
Indiana Ave & 31st St,casual,727
Drake Ave & Addison St,casual,733
St. Louis Ave & Balmoral Ave,member,733
Prairie Ave & Garfield Blvd,member,734
Malcolm X College,casual,736
Winchester (Ravenswood) Ave & Balmoral Ave,casual,740
Rhodes Ave & 32nd St,casual,743
Western Ave & Granville Ave,member,746
Wentworth Ave & 24th St,casual,751
63rd St Beach,casual,752
Oakley Ave & Irving Park Rd,casual,756
State St & 29th St,member,759
Christiana Ave & Lawrence Ave,casual,766
Troy St & Grace St,member,766
Francisco Ave & Montrose Ave,member,771
May St & Cullerton St,casual,774
Troy St & Elston Ave,casual,778
Drake Ave & Montrose Ave,member,779
Halsted St & 21st St,casual,780
Bosworth Ave & Howard St,member,783
Damen Ave & Cullerton St,casual,788
Evanston Civic Center,member,792
South Shore Dr & 67th St,member,792
Francisco Ave & Chicago Ave,member,795
Sheridan Rd & Greenleaf Ave,casual,796
Hoyne Ave & Balmoral Ave,casual,803
Indiana Ave & 26th St,casual,804
Streeter Dr/Grand Ave,member,806
Wood St & Taylor St (Temp),casual,806
Western Ave & Fillmore St,casual,812
Clark St & Columbia Ave,casual,816
Washtenaw Ave & Lawrence Ave,casual,821
Cherry Ave & Blackhawk St,casual,822
Halsted St & North Branch St,casual,823
Spaulding Ave & Division St,casual,823
Racine Ave & 15th St,casual,825
Halsted St & 35th St,casual,827
Kedzie Ave & Foster Ave,member,832
Sawyer Ave & Irving Park Rd,member,838
Wells St & 19th St,member,839
Lincoln Ave & Belmont Ave (Temp),member,843
N Southport Ave & W Newport Ave,casual,847
N Sheffield Ave & W Wellington Ave,casual,849
Dorchester Ave & 49th St,member,855
Western Ave & Gunnison St,member,857
Western Ave & Howard St,member,862
State St & 35th St,casual,863
Western Ave & Congress Pkwy,casual,863
Lincoln Ave & Winona St,casual,870
Ogden Ave & Congress Pkwy,casual,870
Racine Ave & 13th St,member,870
Warren Park West,member,872
Western Ave & Berteau Ave,member,872
Calumet Ave & 33rd St,casual,881
Knox Ave & Montrose Ave,member,881
Harper Ave & 59th St,casual,885
Lake Park Ave & 47th St,casual,902
Loomis St & Archer Ave,member,914
Glenwood Ave & Touhy Ave,casual,925
Rockwell St & Fletcher St,casual,927
Drake Ave & Addison St,member,935
Damen Ave & Walnut (Lake) St,casual,937
Western Ave & Roscoe St,casual,942
Cottage Grove Ave & 51st St,member,945
Campbell Ave & Montrose Ave,casual,949
Morgan St & 31st St,casual,954
Drexel Ave & 60th St,casual,956
Clark St & Touhy Ave,member,960
Wentworth Ave & 35th St,casual,965
Laflin St & Cullerton St,casual,976
Eastlake Ter & Howard St,member,981
Avondale Ave & Irving Park Rd,casual,985
Rockwell St & Eastwood Ave,casual,992
Spaulding Ave & Division St,member,992
MTV Hubbard St,member,993
Winchester Ave & Elston Ave,casual,993
California Ave & Byron St,casual,994
Ashland Ave & Archer Ave,member,995
University Library (NU),casual,1001
Clark St & Jarvis Ave,member,1004
Cottage Grove Ave & 47th St,member,1004
Wells St & Randolph St,casual,1004
Lake Park Ave & 47th St,member,1008
Kosciuszko Park,casual,1010
Buckingham Fountain,member,1022
Cottage Grove Ave & 63rd St,member,1024
Avers Ave & Belmont Ave,casual,1026
Canal St & Harrison St,casual,1028
Emerald Ave & 31st St,casual,1032
Ravenswood Ave & Berteau Ave,casual,1034
Christiana Ave & Lawrence Ave,member,1037
University Ave & 59th St,casual,1043
Central Park Ave & Bloomingdale Ave,casual,1044
Wilton Ave & Diversey Pkwy*,casual,1044
Central Park Ave & Elbridge Ave,casual,1049
Hermitage Ave & Polk St,casual,1049
Halsted St & Archer Ave,casual,1050
Sheridan Rd & Columbia Ave,casual,1065
MLK Jr Dr & Pershing Rd,member,1072
Morgan Ave & 14th Pl,casual,1091
Claremont Ave & Hirsch St,casual,1093
Woodlawn Ave & Lake Park Ave,member,1093
Paulina St & Howard St,casual,1100
Winchester (Ravenswood) Ave & Balmoral Ave,member,1106
Clinton St & 18th St,casual,1121
California Ave & Fletcher St,casual,1136
Normal Ave & Archer Ave,member,1138
Elston Ave & Wabansia Ave,casual,1143
Talman Ave & Addison St,casual,1145
Kimball Ave & Belmont Ave,casual,1149
Clark St & Schreiber Ave,casual,1152
Rockwell St & Fletcher St,member,1163
Campbell Ave & Augusta Blvd,casual,1167
Wentworth Ave & 24th St,member,1173
Elston Ave & George St,member,1177
Western Ave & 21st St,member,1178
Glenwood Ave & Touhy Ave,member,1179
Western Ave & Lunt Ave,member,1190
Wells St & 19th St,casual,1193
Troy St & North Ave,casual,1206
Leavitt St & Lawrence Ave,casual,1212
N Damen Ave & W Chicago Ave,member,1214
State St & 19th St,casual,1218
Leavitt St & Addison St,casual,1227
W Armitage Ave & N Sheffield Ave,casual,1231
California Ave & Montrose Ave,casual,1237
Greenview Ave & Jarvis Ave,casual,1244
Wood St & Webster Ave,casual,1253
St. Louis Ave & Fullerton Ave,casual,1267
N Southport Ave & W Newport Ave,member,1268
Lake Park Ave & 35th St,casual,1273
Lincoln Ave & Waveland Ave,casual,1279
Campbell Ave & Fullerton Ave,casual,1283
Sheridan Rd & Greenleaf Ave,member,1283
Richmond St & Diversey Ave,casual,1285
Paulina St & Flournoy St,casual,1287
Ashland Ave & Belle Plaine Ave,casual,1302
Monticello Ave & Irving Park Rd,member,1306
Chicago Ave & Washington St,casual,1308
Bernard St & Elston Ave,member,1311
Streeter Dr/Grand Ave,casual,1325
Glenwood Ave & Morse Ave,casual,1338
Wolcott Ave & Polk St,casual,1343
Cherry Ave & Blackhawk St,member,1345
Central Park Ave & Bloomingdale Ave,member,1346
Damen Ave & Wabansia Ave,casual,1349
California Ave & Altgeld St,casual,1357
Troy St & North Ave,member,1364
State St & 33rd St,casual,1368
Albany Ave & Montrose Ave,member,1369
Manor Ave & Leland Ave,member,1370
N Sheffield Ave & W Wellington Ave,member,1376
Noble St & Milwaukee Ave (Temp),member,1380
Clark St & Elmdale Ave,casual,1388
Paulina St & 18th St,casual,1391
Lincoln Ave & Addison St,casual,1401
Racine Ave & Congress Pkwy,casual,1403
Woodlawn Ave & 58th St,casual,1413
Avers Ave & Belmont Ave,member,1415
Damen Ave & Melrose Ave,casual,1419
Lincoln Ave & Byron St,casual,1420
Damen Ave & Sunnyside Ave,casual,1423
Francisco Ave & Foster Ave,member,1424
California Ave & North Ave,casual,1425
Chicago Ave & Washington St,member,1430
W Oakdale Ave & N Broadway,casual,1443
Damen Ave & Madison St,casual,1450
Malcolm X College,member,1452
Throop St & Taylor St,casual,1461
Smith Park,member,1465
Racine Ave & Washington Blvd,casual,1473
Wood St & Hubbard St,casual,1473
Kosciuszko Park,member,1475
Racine Ave & 35th St,member,1484
Halsted St & 18th St,casual,1504
Loomis St & Jackson Blvd,casual,1506
Larrabee St & Menomonee St,casual,1509
Paulina St & Howard St,member,1510
Racine Ave & Randolph St,casual,1510
Clybourn Ave & Division St,casual,1545
MLK Jr Dr & 29th St,casual,1545
Halsted St & North Branch St,member,1546
Lincoln Ave & Winona St,member,1550
Paulina St & Montrose Ave,casual,1552
Wabash Ave & Cermak Rd,casual,1555
N Paulina St & Lincoln Ave,member,1586
California Ave & Fletcher St,member,1593
Wentworth Ave & 35th St,member,1594
California Ave & Division St,casual,1606
W Washington Blvd & N Peoria St,member,1609
Wallace St & 35th St,member,1609
Ravenswood Ave & Irving Park Rd,casual,1610
Damen Ave & Cullerton St,member,1615
Kedzie Ave & Leland Ave,member,1618
Avondale Ave & Irving Park Rd,member,1625
Hampden Ct & Diversey Ave,casual,1628
Artesian Ave & Hubbard St,casual,1635
California Ave & Byron St,member,1646
Clinton St & Tilden St,casual,1648
Ashland Ave & Grand Ave,casual,1653
Southport Ave & Clark St,casual,1653
Elizabeth St & Fulton St,casual,1654
Noble St & Milwaukee Ave,casual,1659
University Library (NU),member,1661
Blue Island Ave & 18th St,casual,1668
Clark St & Lunt Ave,casual,1670
Milwaukee Ave & Rockwell St,casual,1674
Blackstone Ave & Hyde Park Blvd,casual,1690
Leavitt St & Division St,casual,1691
Damen Ave & Walnut (Lake) St,member,1694
Troy St & Elston Ave,member,1695
Washtenaw Ave & Lawrence Ave,member,1712
Stave St & Armitage Ave,casual,1726
May St & Cullerton St,member,1728
Orleans St & Elm St,casual,1729
Damen Ave & Grand Ave,casual,1734
Logan Blvd & Elston Ave,casual,1736
Central Park Ave & Elbridge Ave,member,1743
LaSalle St & Adams St,casual,1744
Western Ave & Monroe St,member,1754
Damen Ave & Clybourn Ave,casual,1760
Campbell Ave & Augusta Blvd,member,1763
Clark St & Columbia Ave,member,1766
Buckingham Fountain (Temp),member,1767
Lincoln Ave & Belle Plaine Ave,casual,1783
Elston Ave & Wabansia Ave,member,1787
Ellis Ave & 53rd St,casual,1793
Kedzie Ave & Palmer Ct,casual,1807
Wood St & Augusta Blvd,casual,1816
Damen Ave & Wellington Ave,casual,1828
Hoyne Ave & Balmoral Ave,member,1831
Halsted St & Roosevelt Rd,casual,1848
Milwaukee Ave & Fullerton Ave,casual,1849
Ashland Ave & Augusta Blvd,casual,1851
State St & 19th St,member,1852
Laflin St & Cullerton St,member,1857
Leavitt St & Chicago Ave,casual,1859
N Carpenter St & W Lake St,member,1865
Ashland Ave & Chicago Ave,casual,1878
Oakley Ave & Irving Park Rd,member,1894
Ashland Ave & Belle Plaine Ave,member,1900
Sedgwick St & Schiller St,casual,1900
Campbell Ave & Fullerton Ave,member,1904
Wood St & Chicago Ave,casual,1906
Leavitt St & Addison St,member,1909
Leavitt St & Belmont Ave,casual,1912
Halsted St & Archer Ave,member,1923
May St & Taylor St,casual,1928
Ada St & Washington Blvd,casual,1931
California Ave & Francis Pl,casual,1933
Albany Ave & Bloomingdale Ave,casual,1936
Museum of Science and Industry,member,1938
Halsted St & 21st St,member,1944
Kimball Ave & Belmont Ave,member,1964
Ashland Ave & Wrightwood Ave,casual,1967
Richmond St & Diversey Ave,member,1991
Leavitt St & Armitage Ave,casual,1993
Ogden Ave & Roosevelt Rd,member,1998
Larrabee St & Oak St,casual,1999
Clinton St & 18th St,member,2007
Damen Ave & Madison St,member,2007
Fort Dearborn Dr & 31st St,casual,2021
Racine Ave & 18th St,casual,2025
Damen Ave & Foster Ave,casual,2026
Spaulding Ave & Armitage Ave,casual,2029
Lincoln Ave & Sunnyside Ave,casual,2031
Broadway & Ridge Ave,casual,2038
Wentworth Ave & Cermak Rd*,casual,2045
Leavitt St & Lawrence Ave,member,2052
Lincoln Ave & Melrose St,casual,2052
Greenwood Ave & 47th St,member,2063
Morgan St & 18th St,casual,2069
Ellis Ave & 58th St,casual,2082
Canal St & Taylor St,casual,2088
Wabash Ave & Cermak Rd,member,2095
Ashland Ave & Wellington Ave,casual,2126
Lincoln Ave & Roscoe St*,casual,2133
Wilton Ave & Diversey Pkwy*,member,2134
N Green St & W Lake St,casual,2136
Sheridan Rd & Columbia Ave,member,2139
Milwaukee Ave & Fullerton Ave,member,2141
St. Louis Ave & Fullerton Ave,member,2141
Wolcott (Ravenswood) Ave & Montrose Ave,casual,2143
Calumet Ave & 21st St,member,2149
Wentworth Ave & Cermak Rd,member,2155
Clinton St & Roosevelt Rd,casual,2164
Fort Dearborn Dr & 31st St*,casual,2169
Sheridan Rd & Loyola Ave,casual,2170
Blackstone Ave & 59th St,casual,2172
Sheridan Rd & Lawrence Ave,casual,2173
Humboldt Blvd & Armitage Ave,casual,2182
California Ave & Montrose Ave,member,2183
Clark St & Schreiber Ave,member,2183
Clark St & Elmdale Ave,member,2195
Greenview Ave & Jarvis Ave,member,2198
Campbell Ave & North Ave,casual,2201
Racine Ave & 15th St,member,2206
Wells St & Institute Pl,casual,2220
Campbell Ave & Montrose Ave,member,2222
Fairbanks St & Superior St,casual,2227
Field Museum,member,2235
Clarendon Ave & Leland Ave,casual,2239
W Oakdale Ave & N Broadway,member,2240
Halsted St & 35th St,member,2241
Wood St & Webster Ave,member,2249
Dearborn St & Van Buren St,casual,2252
California Ave & Cortez St,casual,2260
Talman Ave & Addison St,member,2263
Larrabee St & North Ave,casual,2268
Clark St & 9th St (AMLI),casual,2278
Canal St & Harrison St,member,2288
Broadway & Berwyn Ave,casual,2294
W Armitage Ave & N Sheffield Ave,member,2300
Wentworth Ave & Cermak Rd,casual,2308
Chicago Ave & Sheridan Rd,casual,2317
Fort Dearborn Dr & 31st St,member,2323
Winthrop Ave & Lawrence Ave,casual,2330
Seeley Ave & Roscoe St,casual,2331
Damen Ave & Sunnyside Ave,member,2333
Western Ave & Leland Ave,casual,2336
Western Ave & Walton St,casual,2337
Damen Ave & Charleston St,casual,2340
Southport Ave & Clark St,member,2340
Calumet Ave & 21st St,casual,2344
Rockwell St & Eastwood Ave,member,2358
Damen Ave & Leland Ave,casual,2359
Emerald Ave & 28th St,member,2362
Western Ave & Division St,casual,2365
LaSalle St & Washington St,casual,2376
Leavitt St & North Ave,casual,2389
Claremont Ave & Hirsch St,member,2391
Western Ave & Roscoe St,member,2392
Milwaukee Ave & Rockwell St,member,2397
Wacker Dr & Washington St,casual,2416
Greenview Ave & Diversey Pkwy,casual,2418
Sangamon St & Washington Blvd,casual,2441
Clark St & Ida B Wells Dr,casual,2452
Cannon Dr & Fullerton Ave,member,2461
Lincoln Ave & Addison St,member,2463
Orleans St & Hubbard St,casual,2466
Wentworth Ave & Cermak Rd*,member,2473
California Ave & Division St,member,2483
Ashland Ave & Lake St,casual,2484
Harper Ave & 59th St,member,2484
Wells St & Randolph St,member,2489
Walsh Park,casual,2491
Damen Ave & Wabansia Ave,member,2502
Lake Park Ave & 53rd St,casual,2502
Shields Ave & 28th Pl,member,2516
Cornell Ave & Hyde Park Blvd,casual,2537
Broadway & Thorndale Ave,casual,2558
Kedzie Ave & Palmer Ct,member,2569
Racine Ave & Wrightwood Ave,casual,2582
McCormick Place,member,2600
Benson Ave & Church St,casual,2611
Jefferson St & Monroe St,casual,2619
Paulina Ave & North Ave,casual,2623
Damen Ave & Melrose Ave,member,2641
Broadway & Granville Ave,casual,2668
Morgan St & Polk St,casual,2672
Damen Ave & Division St,casual,2675
Winchester Ave & Elston Ave,member,2679
Damen Ave & Thomas St (Augusta Blvd),casual,2686
Sheridan Rd & Loyola Ave,member,2690
Broadway & Argyle St,casual,2693
Lake Park Ave & 35th St,member,2709
Clark St & Bryn Mawr Ave,casual,2713
Sheridan Rd & Argyle St,casual,2717
Ashland Ave & Grace St,casual,2721
Green St & Washington Blvd,casual,2721
Halsted St & Polk St,casual,2723
Lake Park Ave & 56th St,casual,2736
Clark St & Montrose Ave,casual,2743
Eckhart Park,casual,2747
Financial Pl & Ida B Wells Dr,casual,2749
Morgan St & Lake St*,casual,2761
Indiana Ave & 26th St,member,2763
Marine Dr & Ainslie St,casual,2763
Leavitt St & Belmont Ave,member,2767
Ashland Ave & Blackhawk St,casual,2779
Buckingham Fountain (Temp),casual,2780
Loomis St & Lexington St,casual,2783
Aberdeen St & Monroe St,casual,2786
California Ave & Altgeld St,member,2788
Dearborn St & Adams St,casual,2797
Fort Dearborn Dr & 31st St*,member,2801
Orleans St & Chestnut St (NEXT Apts),casual,2805
Larrabee St & Armitage Ave,casual,2817
Drexel Ave & 60th St,member,2818
Sheffield Ave & Willow St,casual,2822
Ashland Ave & 13th St,member,2824
Damen Ave & Chicago Ave,casual,2830
Green St & Randolph St*,casual,2838
Chicago Ave & Sheridan Rd,member,2841
Halsted St & 18th St,member,2865
State St & Pearson St,casual,2878
Lincoln Ave & Byron St,member,2879
Halsted St & Maxwell St,casual,2882
Ogden Ave & Race Ave,casual,2895
Hampden Ct & Diversey Ave,member,2898
Western Ave & Congress Pkwy,member,2908
Clark St & Lunt Ave,member,2910
California Ave & North Ave,member,2916
Southport Ave & Irving Park Rd,casual,2927
Elizabeth St & Randolph St,casual,2939
Wentworth Ave & 33rd St,member,2940
Delano Ct & Roosevelt Rd,casual,2954
Morgan St & 31st St,member,2978
Sheridan Rd & Noyes St (NU),casual,3012
Franklin St & Adams St (Temp),casual,3014
Franklin St & Monroe St,casual,3018
Southport Ave & Clybourn Ave,casual,3027
Wabash Ave & 16th St,casual,3040
Desplaines St & Randolph St,casual,3049
Morgan St & 18th St,member,3083
Damen Ave & Clybourn Ave,member,3094
Wood St & Hubbard St,member,3108
Paulina St & 18th St,member,3123
Halsted St & Willow St,casual,3124
Morgan Ave & 14th Pl,member,3134
Ogden Ave & Congress Pkwy,member,3137
Clark St & Randolph St,casual,3147
900 W Harrison St,casual,3154
Calumet Ave & 35th St,member,3192
Damen Ave & Foster Ave,member,3194
Glenwood Ave & Morse Ave,member,3207
Desplaines St & Jackson Blvd,casual,3230
Sheridan Rd & Buena Ave,casual,3234
Michigan Ave & 18th St,casual,3236
Ravenswood Ave & Berteau Ave,member,3251
Sangamon St & Lake St,casual,3285
State St & Van Buren St,casual,3287
Lincoln Ave & Waveland Ave,member,3304
Larrabee St & Division St,casual,3313
Wells St & Polk St,casual,3316
Canal St & Jackson Blvd,casual,3343
Museum of Science and Industry,casual,3347
Clifton Ave & Armitage Ave,casual,3360
Sedgwick St & Schiller St,member,3360
